zip_code,latitude,longitude
735,18.243581,-65.653972
735,18.243581,-65.653972
735,18.243581,-65.653972
736,18.078621,-66.165322
737,18.1138,-66.1667
738,18.30999,-65.653972
739,18.176915,-66.153424
740,18.338024,-65.593093
741,18.16462,-65.766894
741,18.16462,-65.766894
742,18.2666,-65.6482
742,18.2666,-65.6482
742,18.2666,-65.6482
744,18.2202,-65.7902
745,18.34505,-65.832284
745,18.34505,-65.832284
745,18.34505,-65.832284
751,18.002225,-66.260518
754,18.142369,-65.974986
757,17.985792,-66.391439
765,18.126285,-65.440098
766,18.13,-66.474329
767,18.068802,-65.903106
769,18.096036,-66.351012
771,18.19644,-65.87203
772,18.419378,-65.910867
773,18.338815,-65.720102
775,18.313697,-65.294233
777,18.206518,-65.901732
778,18.258919,-65.974639
780,18.071098,-66.562869
780,18.071098,-66.562869
782,18.225014,-66.219798
783,18.304629,-66.330493
784,18.018004,-66.133308
785,17.98,-66.1101
785,17.98,-66.1101
786,18.1564,-66.2336
791,18.138009,-65.818996
792,18.1519,-65.8279
794,18.200791,-66.307012
795,18.017302,-66.493329
801,18.3436,-64.9314
801,18.3436,-64.9314
801,18.3436,-64.9314
802,18.3436,-64.9322
802,18.3436,-64.9322
802,18.3436,-64.9322
803,18.3436,-64.9314
803,18.3436,-64.9314
803,18.3436,-64.9314
804,18.3436,-64.9314
804,18.3436,-64.9314
804,18.3436,-64.9314
805,18.3436,-64.9314
820,17.745384,-64.703369
820,17.745384,-64.703369
821,17.7488,-64.7039
822,17.7488,-64.7039
823,17.7488,-64.7039
823,17.7488,-64.7039
824,17.7488,-64.7039
824,17.7488,-64.7039
830,18.3282,-64.7407
830,18.3282,-64.7407
831,18.3333,-64.7943
831,18.3333,-64.7943
840,17.712409,-64.882164
841,17.7147,-64.8818
850,17.723,-64.78295
851,17.7253,-64.7836
901,18.4654,-66.104373
901,18.4654,-66.104373
901,18.4654,-66.104373
901,18.4654,-66.104373
902,18.4683,-66.1061
902,18.4683,-66.1061
902,18.4683,-66.1061
902,18.4683,-66.1061
906,18.46462,-66.10078
906,18.46462,-66.10078
906,18.46462,-66.10078
907,18.451852,-66.084976
907,18.451852,-66.084976
907,18.451852,-66.084976
907,18.451852,-66.084976
908,18.4683,-66.1061
909,18.441112,-66.066068
909,18.441112,-66.066068
909,18.441112,-66.066068
909,18.441112,-66.066068
909,18.441112,-66.066068
910,18.45,-66.07
910,18.45,-66.07
910,18.45,-66.07
911,18.451408,-66.057889
911,18.451408,-66.057889
912,18.445384,-66.061116
912,18.445384,-66.061116
913,18.450365,-66.044399
913,18.450365,-66.044399
913,18.450365,-66.044399
914,18.4683,-66.1061
914,18.4683,-66.1061
915,18.437208,-66.044602
915,18.437208,-66.044602
915,18.437208,-66.044602
915,18.437208,-66.044602
916,18.4683,-66.1061
916,18.4683,-66.1061
916,18.4683,-66.1061
917,18.421194,-66.049352
917,18.421194,-66.049352
918,18.423656,-66.067402
919,18.4683,-66.1061
919,18.4683,-66.1061
920,18.416061,-66.089552
920,18.416061,-66.089552
920,18.416061,-66.089552
920,18.416061,-66.089552
920,18.416061,-66.089552
920,18.416061,-66.089552
920,18.416061,-66.089552
921,18.390532,-66.08842
921,18.390532,-66.08842
921,18.390532,-66.08842
921,18.390532,-66.08842
921,18.390532,-66.08842
922,18.4683,-66.1061
922,18.4683,-66.1061
922,18.4683,-66.1061
922,18.4683,-66.1061
922,18.4683,-66.1061
923,18.41138,-66.033958
924,18.400569,-66.00496
924,18.400569,-66.00496
925,18.403282,-66.047812
925,18.403282,-66.047812
926,18.34646,-66.062461
926,18.34646,-66.062461
926,18.34646,-66.062461
927,18.38759,-66.072006
927,18.38759,-66.072006
928,18.4683,-66.1061
928,18.4683,-66.1061
929,18.4683,-66.1061
929,18.4683,-66.1061
930,18.45,-66.06
930,18.45,-66.06
930,18.45,-66.06
931,18.4683,-66.1061
931,18.4683,-66.1061
933,18.4683,-66.1061
934,18.412973,-66.119834
934,18.412973,-66.119834
935,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
936,18.4683,-66.1061
937,18.4683,-66.1061
939,18.4683,-66.1061
940,18.466229,-66.105735
940,18.466229,-66.105735
940,18.466229,-66.105735
949,18.432704,-66.199115
949,18.432704,-66.199115
950,18.444524,-66.255037
951,18.4456,-66.26
952,18.428378,-66.180376
953,18.357812,-66.258113
954,18.3905,-66.2487
955,18.4697,-66.1179
956,18.323022,-66.172992
957,18.36724,-66.185126
958,18.4008,-66.1589
959,18.392506,-66.158212
960,18.393064,-66.154817
961,18.413087,-66.161162
962,18.441765,-66.140217
963,18.1103,-66.17
965,18.430034,-66.119902
966,18.39779,-66.116071
968,18.414026,-66.108363
969,18.330998,-66.112285
970,18.359214,-66.110296
971,18.330223,-66.114506
975,18.4683,-66.1064
976,18.337034,-65.990043
976,18.337034,-65.990043
976,18.337034,-65.990043
976,18.337034,-65.990043
977,18.3569,-66.0076
977,18.3569,-66.0076
978,18.3703,-66.0123
979,18.438381,-66.011814
979,18.438381,-66.011814
981,18.4683,-66.1064
981,18.4683,-66.1064
982,18.409908,-65.997644
983,18.415614,-65.977729
984,18.3828,-65.9578
985,18.406221,-65.943942
986,18.3828,-65.9578
987,18.331133,-65.950318
988,18.3828,-65.9578
1001,42.065842,-72.620948
1002,42.372901,-72.450902
1002,42.372901,-72.450902
1002,42.372901,-72.450902
1003,42.39115,-72.524316
1004,42.3736,-72.5209
1005,42.420844,-72.10623
1007,42.274798,-72.401922
1008,42.186964,-72.956111
1009,42.2075,-72.3496
1010,42.126637,-72.204617
1011,42.268566,-72.980845
1011,42.268566,-72.980845
1012,42.365393,-72.819914
1013,42.160827,-72.603375
1013,42.160827,-72.603375
1014,42.1486,-72.6085
1020,42.17762,-72.562566
1021,42.1486,-72.6085
1022,42.195565,-72.542478
1022,42.195565,-72.542478
1026,42.441033,-72.915573
1027,42.292895,-72.717599
1027,42.292895,-72.717599
1027,42.292895,-72.717599
1027,42.292895,-72.717599
1028,42.06166,-72.498771
1028,42.06166,-72.498771
1029,42.192033,-73.045339
1030,42.070474,-72.675174
1031,42.3611,-72.20382
1032,42.454455,-72.826714
1033,42.257915,-72.505683
1034,42.092408,-72.949682
1034,42.092408,-72.949682
1035,42.356251,-72.585014
1036,42.072956,-72.416626
1037,42.378705,-72.192186
1038,42.3863,-72.60588
1039,42.411178,-72.688894
1039,42.411178,-72.688894
1040,42.222692,-72.640474
1041,42.2043,-72.6167
1050,42.270928,-72.903169
1050,42.270928,-72.903169
1053,42.352158,-72.715494
1054,42.475356,-72.487555
1054,42.475356,-72.487555
1056,42.192007,-72.45872
1057,42.095536,-72.312918
1059,42.3738,-72.5205
1059,42.3738,-72.5205
1060,42.329604,-72.625124
1061,42.3251,-72.6418
1062,42.330067,-72.692655
1062,42.330067,-72.692655
1062,42.330067,-72.692655
1062,42.330067,-72.692655
1063,42.31822,-72.637674
1066,42.4107,-72.6253
1066,42.4107,-72.6253
